commit,number_patches,patch_size_byte,patch_time_ms
7a550c8bbbf55bdc56a45b9c728b45408d620bc5,1,155904,0.4053
7a62eb96ef31dd36b78274f4c921799fc0588be3,1,504344,5.6198
7ad786db2ee61e33b6a96de8c50b53785f56f556,1,922784,2.5523
7c0fe727145e5927d4ebeaff0bdcdfef061ec999,1,405576,4.1258
7c956d5cdfbd682d6b4a464a7dc55d8152cf6f2b,3,986216,4.607
7d9878e4e508fa62180a8e49aebbad0a16adece4,1,127912,0.5506
7f3fcedb8ca14a557074bf679f77a6eef97b9b81,1,396352,6.6513
7f486ea6eebf0afce74f2e59763b9b82b78629dc,1,83120,0.6858
80a49c37f9950503cee139d180d6250176bd60dd,1,139096,0.6522
8263146227aa922db71434d6877db3333a710f74,1,81280,0.316
83390f55e5b78a1618a81528993bdb7a0c259980,1,167800,0.1869
837c063baf103c4389d8109ff0ef7fa8576a90d5,1,372864,8.4905
8651e5d50d477faa47cc2d7ca02d4cbdcba1e135,1,300816,2.7072
86f27be3dc49a012807ccf94fabfdfcef41dbb0f,1,30984,0.5204
87131a5fa612c0d2b688fc65c722ebc95ae8f42a,1,178872,1.4178
88682ca305e7a69c2cf174c439c76a9a4066413e,1,509048,1.4885
8869589430554bd9e9a4aabb8ed1198d838b4c58,1,407816,9.067
88d58661dbf674b722fc007a8a617e0f95a6be9e,1,297920,1.6216
89682d96ea220e3a7901f57ce9b5a6df756af577,2,485424,6.5813
896cf1a9d98a4d603c5d056ea421d1d6fb3c728e,1,335336,4.5845
897d857115298eb9632ac2cdc8cfea3e1ae3c1e7,1,127088,0.3781
89c68ba3f7fba1e1050c0ecfc7c2e57f64ec15f5,1,370552,0.5675
8a012df9c6f5fa74b8dcf39ef73b9a07d8341238,1,172256,1.0371
8b565570f2bc4b2e454676c9fa8a5b01eef201b1,1,65504,0.2264
8bcca06cb00bd3a80e57a8d08d3666f437642caf,1,576888,7.8475
8c0f06c2e69d014c7b73e48899abb04639f58baf,1,295280,0.6429
8c6223f91d629efdf1f4e89002f188fd2914fe00,1,165384,0.8115
8cc66985673ce1cd1194f4c01d297b3fd39ae4ea,1,428280,2.2452
8d9dff84ce6e04d34f3042105273df080facf46d,1,171016,1.0599
8df81c032685600dd0657a0f28dde5c3d07283ff,2,428528,2.0733
8ee3bddfc7792a8805a9da9eab9bba848a2b066b,1,183840,0.7331
8ef4f1dbad3c40dc90920c4aaa8a2f9f72637786,1,119768,1.1136
8fe25edc7560eac183df31e2831a60777406fff9,1,311408,0.8588
8fe586d344d9155bdd79cf525a59c6283b0365bd,1,119424,0.6604
90f489b0a4d5dab586fc74ff742afbc4c71cf4da,1,419672,4.6395
918c9aa58c2985cb8e0682e24177d71af3d6f815,1,139504,0.4607
91c1568b1a84a62c6aca73bde6e8adac6d5f3504,1,48912,0.419
920e108f84338b5ce08a02169160f0981b030bca,1,412960,0.1578
926beaa3c40bf31e4c28308c52f7f26c4087ed50,1,166424,1.0068
9276d787768b03ade9bf1c5935d2f05f731e25e9,2,503048,1.4603
929ab58a1229d333f60396af2bdfe762f7967d46,1,538904,3.7836
92ad0b5c8b3256871dc9e5da2249e44c76b59c92,1,33992,0.3553
93bad8ae8815d50c5059ed12632d84e0f3cf9e5d,1,511056,5.8981
94694010889199f7dc09ffdcb06cd4e038834ea1,1,383560,5.4437
9524fce0ac11d080d1c50aa6fe58e4f5c4962177,1,334688,0.9676
9535c21515edeb71126ce02cd2e70147073996c2,3,823872,8.6882
97816fd63ef3c40dd0b4f472fb237a0d9e9a7c6f,2,1172736,14.9323
99a425d0f3b7b00896cb855d5de4ae93be1fe3f0,5,1904616,39.6088
99e4cf4d841eb3f79f80201567ff9df24676df7c,1,175712,2.0257
9a3e15c6a2e00fda4f3edb9a99e6b903a60fc7de,2,654560,3.6425
9a4f3d7297654f4492787f8898b7a4ebf6373173,1,305616,0.4323
9b0a47cbc83920f2b6d20e51908978df6ab2e6cd,1,439576,4.6292
9bcdd1537ed6404d4f9def35439af0589f1adf72,1,88160,0.1712
9ccb8dfd4789daf3329a0da9a5c80e07fba7b5c7,1,110912,0.9073
9d2972183ee2a5646780c93ad3ad1f972c119de1,12,1998032,19.4134
9f3b410050d998110ae91c2ac49f832ce0ba2629,1,33816,0.3027
9f4d4eef8fa9aad86371a126d360a54401e5a543,1,360168,0.6798
9f69e179cf7c7e985855babaf894eb600a54edb1,1,180000,1.7433
9f7e214e8cfc9c5636e4198371aed209fe0522a5,1,431512,6.2207
9fc20f4f9db1f79ce6ea8d09b82f974d7e3bc1fa,1,1009080,5.7397
